"TimeStamp","Id","co2","temperature","humidity","tvoc","pm1","pm25","humidityRating","virusRisk"
"2021-11-17T15:20:00Z","AS_01","936","20","51","445","6","8","GOOD","4"
"2021-11-17T15:20:00Z","AS_02","972","21.2","49","1120","0","0","GOOD","6"
"2021-11-17T15:20:00Z","AS_03","1090","21.7","46","668","6","7","GOOD","6"
"2021-11-17T15:20:00Z","AS_04","1125","21.6","50","882","5","7","GOOD","7"
"2021-11-17T15:30:00Z","AS_01","939","19.9","51","435","4","4","GOOD","4"
"2021-11-17T15:30:00Z","AS_02","991","21.2","50","1077","4","4","GOOD","6"
"2021-11-17T15:30:00Z","AS_03","1185","21.7","46","659","7","7","GOOD","7"
"2021-11-17T15:30:00Z","AS_04","1188","21.5","50","860","9","6","GOOD","8"
"2021-11-17T15:40:00Z","AS_01","999","20","52","962","5","5","GOOD","5"
"2021-11-17T15:40:00Z","AS_02","991","21.1","50","993","4","4","GOOD","6"
"2021-11-17T15:40:00Z","AS_03","1231","21.5","47","632","4","4","GOOD","7"
"2021-11-17T15:40:00Z","AS_04","1161","21.5","50","761","5","6","GOOD","7"
"2021-11-17T15:50:00Z","AS_01","999","19.9","51","565","2","2","GOOD","5"
"2021-11-17T15:50:00Z","AS_02","982","20.8","51","952","7","7","GOOD","6"
"2021-11-17T15:50:00Z","AS_03","1222","21.5","47","605","6","6","GOOD","7"
"2021-11-17T15:50:00Z","AS_04","1150","21.4","50","734","5","5","GOOD","7"
"2021-11-17T16:00:00Z","AS_01","1044","20","52","504","5","5","GOOD","7"
"2021-11-17T16:00:00Z","AS_02","983","20.9","51","890","7","8","GOOD","6"
"2021-11-17T16:00:00Z","AS_03","1244","21.8","47","650","7","7","GOOD","8"
"2021-11-17T16:00:00Z","AS_04","1156","21.3","51","650","5","6","GOOD","7"
"2021-11-17T16:10:00Z","AS_01","1102","20.3","51","490","2","5","GOOD","7"
"2021-11-17T16:10:00Z","AS_02","1030","21.1","51","815","6","6","GOOD","7"
"2021-11-17T16:10:00Z","AS_03","1096","22.6","46","698","5","5","GOOD","6"
"2021-11-17T16:10:00Z","AS_04","1155","21.6","51","615","6","6","GOOD","7"
"2021-11-17T16:20:00Z","AS_01","1086","20.8","51","487","4","7","GOOD","7"
"2021-11-17T16:20:00Z","AS_02","1039","21.7","50","721","5","5","GOOD","7"
"2021-11-17T16:20:00Z","AS_03","1065","23.4","45","698","6","6","GOOD","6"
"2021-11-17T16:20:00Z","AS_04","1165","22","50","548","2","2","GOOD","7"
"2021-11-17T16:30:00Z","AS_01","1059","20.8","50","435","","","GOOD","7"
"2021-11-17T16:30:00Z","AS_02","1030","22.7","48","698","","","GOOD","7"
"2021-11-17T16:30:00Z","AS_03","1209","24.2","43","726","3","3","GOOD","6"
"2021-11-17T16:50:00Z","AS_01","978","21.4","48","438","","","GOOD","7"
"2021-11-17T16:50:00Z","AS_02","1019","24","45","730","","","GOOD","7"
"2021-11-17T16:50:00Z","AS_04","1257","23.6","47","592","","","GOOD","8"
"2021-11-17T17:00:00Z","AS_02","1034","24.1","45","716","3","4","GOOD","7"
"2021-11-17T17:10:00Z","AS_01","839","21.3","47","353","","","GOOD","5"
"2021-11-17T17:10:00Z","AS_02","1040","24.1","45","716","","","GOOD","7"
"2021-11-18T11:10:00Z","AS_01","501","20.6","50","97","0","0","GOOD","3"
"2021-11-18T11:10:00Z","AS_02","461","23.4","46","353","","","GOOD","4"
"2021-11-18T11:10:00Z","AS_03","513","24.6","42","456","0","0","GOOD","4"
"2021-11-18T11:10:00Z","AS_04","755","23","49","882","1","1","GOOD","4"
"2021-11-18T11:20:00Z","AS_01","497","20.5","50","91","1","1","GOOD","3"
"2021-11-18T11:20:00Z","AS_02","471","23.4","46","362","1","1","GOOD","4"
"2021-11-18T11:20:00Z","AS_03","511","24.4","42","459","0","3","GOOD","4"
"2021-11-18T11:20:00Z","AS_04","759","23","50","815","1","1","GOOD","4"
"2021-11-18T11:30:00Z","AS_01","529","20.4","51","89","1","1","GOOD","3"
"2021-11-18T11:30:00Z","AS_02","475","23.1","47","342","0","0","GOOD","4"
"2021-11-18T11:30:00Z","AS_03","513","24","43","421","1","1","GOOD","4"
"2021-11-18T11:30:00Z","AS_04","701","22.6","50","743","1","1","GOOD","4"
"2021-11-18T11:40:00Z","AS_01","501","20.3","51","108","1","1","GOOD","3"
"2021-11-18T11:40:00Z","AS_02","462","22.8","47","332","","","GOOD","4"
"2021-11-18T11:40:00Z","AS_03","514","23.8","43","411","0","0","GOOD","4"
"2021-11-18T11:40:00Z","AS_04","693","22.6","50","615","1","1","GOOD","4"
"2021-11-18T11:50:00Z","AS_01","533","20.3","51","91","","","GOOD","3"
"2021-11-18T11:50:00Z","AS_02","451","22.6","47","301","0","0","GOOD","4"
"2021-11-18T11:50:00Z","AS_03","518","23.4","43","376","","","GOOD","4"
"2021-11-18T11:50:00Z","AS_04","682","22.5","50","548","","","GOOD","4"
"2021-11-18T12:00:00Z","AS_01","557","20","52","123","","","GOOD","3"
